Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1991.01,536.597959073207,
1991.02,575.725221645322,
1991.03,550.793653385569,
1991.04,524.522351741809,
1991.05,491.678482633614,
1991.06,443.626645595318,
1991.07,395.593886106911,
1991.08,342.156503892081,
1991.09,731.113979660143,
1991.10,603.835270191038,
1991.11,477.41870713772,
1991.12,384.549935154655,
1992.01,698.306955143292,
1992.02,560.977256316088,
1992.03,461.255584678199,
1992.04,381.706909396065,
1992.05,734.257963540954,
1992.06,607.577928592961,
1992.07,497.688473450717,
1992.08,406.674597573028,
1992.09,744.720808542011,
1992.10,590.72052773833,
1992.11,480.690354843548,
1992.12,382.776435158247,
1993.01,711.963562102871,
1993.02,570.529214368697,
1993.03,611.20368526569,
1993.04,476.126482014815,
1993.05,725.731387035745,
1993.06,556.670471353535,
1993.07,596.822278044055,
1993.08,533.856377604721,
1993.09,683.238122098364,
1993.10,637.653782602695,
1993.11,585.727895418142,
1993.12,531.130617794117,
1994.01,658.753749082899,
1994.02,610.404699458665,
1994.03,501.016744641746,
1994.04,498.758938969,
1994.05,502.61315844524,
1994.06,486.48627679808,
1994.07,443.070178995809,
1994.08,435.020338441958,
1994.09,463.512682391089,
1994.10,450.800398775191,
1994.11,437.839068875913,
1994.12,430.518497648934,
1995.01,424.407933801981,
1995.02,420.162607021969,
1995.03,413.462930825356,
1995.04,403.416843427677,
1995.05,564.45512420422,
1995.06,552.412324714876,
1995.07,539.149874806248,
1995.08,533.704559250017,
1995.09,527.531582280591,
1995.10,520.248348180534,
1995.11,512.511232907765,
1995.12,504.19245135753,
1996.01,496.937798291887,
1996.02,493.436272370144,
1996.03,492.009668293593,
1996.04,487.474685250068,
1996.05,539.07264668091,
1996.06,531.99831927729,
1996.07,525.691254865617,
1996.08,523.077322591831,
1996.09,522.973151590252,
1996.10,520.99409953634,
1996.11,519.227616913456,
1996.12,517.518397138791,
1997.01,513.359215146798,
1997.02,511.057670268206,
1997.03,507.60744558992,
1997.04,504.580253063665,
1997.05,540.026017785929,
1997.06,538.143874189778,
1997.07,537.177324121936,
1997.08,537.336907700687,
1997.09,536.80153761359,
1997.10,535.250831407475,
1997.11,534.44875159173,
1997.12,531.420416786172,
1998.01,526.941719961711,
1998.02,524.113312727674,
1998.03,521.558487923435,
1998.04,519.223561093303,
1998.05,558.472808458083,
1998.06,557.636516400941,
1998.07,559.201399741796,
1998.08,561.954468791184,
1998.09,563.701976095072,
1998.10,563.081023016503,
1998.11,564.096084116442,
1998.12,561.73583334471,
1999.01,558.109224321502,
1999.02,551.002075522229,
1999.03,544.037693690836,
1999.04,541.492601146181,
1999.05,566.201434969322,
1999.06,565.807012124996,
1999.07,561.650873175856,
1999.08,558.579054588865,
1999.09,556.409500113097,
1999.10,551.120368710793,
1999.11,545.989701182081,
1999.12,541.978684964276,
2000.01,538.692711983182,
2000.02,538.423203922354,
2000.03,537.723743379635,
2000.04,596.495039187301,
2000.05,596.792958995106,
2000.06,595.006187094245,
2000.07,586.849462827675,
2000.08,579.833368716677,
2000.09,577.350419762034,
2000.10,576.427828866042,
2000.11,574.760750619303,
2000.12,571.615962351478,
2001.01,567.247070063317,
2001.02,564.480256281556,
2001.03,561.783219125754,
2001.04,664.098212568552,
2001.05,660.334482658709,
2001.06,656.397580645162,
2001.07,649.19140645029,
2001.08,644.101766960218,
2001.09,641.281655898972,
2001.10,635.31082392034,
2001.11,627.218895176028,
2001.12,622.61293847667,
2002.01,616.022554033453,
2002.02,614.120214927433,
2002.03,610.3374914971,
2002.04,673.57092317432,
2002.05,672.965876474966,
2002.06,668.884451206627,
2002.07,661.279084950252,
2002.08,655.63921454907,
2002.09,650.241635210436,
2002.10,640.190724672856,
2002.11,619.20127545531,
2002.12,602.921946503998,
2003.01,588.388541899026,
2003.02,579.920852303436,
2003.03,572.083482064189,
2003.04,677.155960440521,
2003.05,670.518641434826,
2003.06,670.921326880277,
2003.07,670.65182942171,
2003.08,669.446189773303,
2003.09,664.001468428782,
2003.10,661.423024013095,
2003.11,658.984550525248,
2003.12,655.445184057152,
2004.01,650.049673336842,
2004.02,647.52304604094,
2004.03,643.854290266807,
2004.04,641.22662412479,
2004.05,691.893934617115,
2004.06,688.452986448051,
2004.07,683.464507422403,
2004.08,680.064537720687,
2004.09,678.911648242865,
2004.10,677.759870209017,
2004.11,674.789542515815,
2004.12,669.035074526764,
2005.01,665.244017282285,
2005.02,662.328839885719,
2005.03,657.529202154009,
2005.04,651.599512276229,
2005.05,746.619884420333,
2005.06,747.442638435201,
2005.07,747.219140246926,
2005.08,747.219140246926,
2005.09,746.100720102771,
2005.10,741.799369587889,
2005.11,737.816670227852,
2005.12,734.876081026178,
2006.01,732.094272927372,
2006.02,730.413362357412,
2006.03,728.446662268523,
2006.04,848.835378444541,
2006.05,847.734420434025,
2006.06,848.328387924269,
2006.07,847.397235650472,
2006.08,847.565794506924,
2006.09,846.212734591618,
2006.10,842.589289788717,
2006.11,839.066641925565,
2006.12,833.897179202499,
2007.01,829.83086585745,
2007.02,826.361476608188,
2007.03,822.740690956081,
2007.04,890.945527539925,
2007.05,888.635144619704,
2007.06,885.889544796704,
2007.07,883.063600789963,
2007.08,877.884937505702,
2007.09,875.695897491901,
2007.10,873.077079416697,
2007.11,869.33828179489,
2007.12,860.987247810511,
2008.01,855.086783895127,
2008.02,851.003144887701,
2008.03,924.66813668728,
2008.04,918.789138318745,
2008.05,910.052738962056,
2008.06,901.846072780824,
2008.07,896.644351764317,
2008.08,894.766277952987,
2008.09,893.427436084038,
2008.10,888.983395820363,
2008.11,885.618066347324,
2008.12,883.058054996286,
2009.01,877.442629794767,
2009.02,980.120845167026,
2009.03,978.163495534053,
2009.04,972.813641155457,
2009.05,967.010282016327,
2009.06,962.967536057418,
2009.07,960.758087572945,
2009.08,959.990461158163,
2009.09,958.455761692042,
2009.10,956.161338101596,
2009.11,952.636938202248,
2009.12,950.354915254238,
2010.01,1033.23164018997,
2010.02,1026.05037770567,
2010.03,1018.81712354487,
2010.04,1011.43476081576,
2010.05,1007.10296553467,
2010.06,1008.2131280642,
2010.07,1008.9188640213,
2010.08,1009.62558868229,
2010.09,1004.20233959236,
2010.10,995.047539503248,
2010.11,984.903068555166,
2010.12,979.02846174373,
2011.01,1026.96457539745,
2011.02,1021.44731888345,
2011.03,1024.14534126091,
2011.04,1016.82288120857,
2011.05,1011.06002174404,
2011.06,1008.83978958695,
2011.07,1008.83978958695,
2011.08,1004.6214803599,
2011.09,1000.11929815408,
2011.10,996.928903721684,
2011.11,991.280483950675,
2011.12,986.250789676041,
2012.01,1119.88162486384,
2012.02,1115.5319478047,
2012.03,1113.52875568765,
2012.04,1106.44484532751,
2012.05,1100.39374800888,
2012.06,1097.54436166091,
2012.07,1092.84421192862,
2012.08,1087.94963128331,
2012.09,1081.1359812417,
2012.10,1073.51668088889,
